"Duration..in.seconds.","RecordedDate","ResponseId","dscore","Age","Gender","NaturalSc_Binary","IAT_taken","Bird_knowledge","Social_media","Bird_plumage","dscore2"
"394","2024-08-23 17:15:00","R_67khuXdxUmwu3Se",1.21,"2","2",1,"1","0","0","0",1.210454588
"955","2024-08-23 17:17:00","R_1OiabhqQF2Jwhfm",1.07,"2","1",0,"7","0","0","1",1.067359392
"490","2024-08-23 20:30:00","R_5JgW0u8tV5CHGvM",1.21,"2","2",1,"1","0","0","0",1.208441045
"329","2024-08-24 07:11:00","R_5LcdWne6CW5t82S",1.1,"2","2",0,"1","1","0","0",1.103096692
"410","2024-08-24 11:08:00","R_6hE96TaovMPjDL3",0.68,"2","2",0,"1","3","1","0",0.6802536
"420","2024-08-24 12:06:00","R_3fZLO1ceWDBqK3h",0.57,"6","2",0,"1","1","0","0",0.571148629
"781","2024-08-24 12:43:00","R_1VO9HCrVuMGW0n7",0.33,"5","2",0,"7","1","1","0",0.327006816
"421","2024-08-24 15:29:00","R_8G3sOBgaUvCthId",0.71,"2","2",1,"1","0","0","1",0.706174503
"457","2024-08-24 15:52:00","R_60ogeqMk1XKj07b",1.03,"2","1",0,"1","0","0","0",1.028525646
"685","2024-08-24 16:47:00","R_7qE53bTsqHBHnSz",1.4,"2","2",0,"1","1","0","1",1.398340104
"429","2024-08-24 16:56:00","R_5r0RcEHD4Qxjkw2",0.64,"2","2",1,"1","0","0","0",0.64022074
"475","2024-08-25 07:44:00","R_1811gmSrvwuldol",0.67,"2","1",0,"1","1","1","0",0.674090211
"343","2024-08-25 11:43:00","R_1s73Ww7ZMg7cI7Z",0.91,"2","2",0,"1","0","0","1",0.910080276
"630","2024-08-25 12:10:00","R_30r6KDYnrfAGvnP",0.67,"2","2",0,"1","0","0","1",0.66899852
"449","2024-08-25 12:23:00","R_7zjPAKGJdPeNhvj",1.06,"2","2",0,"1","0","0","0",1.063848238
"568","2024-08-25 13:31:00","R_15Gu1x8VLVOXNCN",0.71,"2","2",0,"1","0","0","1",0.713825501
"672","2024-08-25 13:32:00","R_1iOPXfwYfL2BgKB",1.01,"2","2",0,"1","0","0","1",1.006224554
"408","2024-08-25 13:52:00","R_6V1KGQmaUHnXpfi",1.02,"2","2",0,"1","0","0","1",1.022680419
"1078","2024-08-25 14:18:00","R_6fGZ363YoKHeBnT",0.47,"2","1",0,"1","1","0","0",0.465687096
"697","2024-08-25 14:27:00","R_3DvFPwITKwe2JhX",0.62,"2","1",1,"1","1","0","1",0.616782372
"463","2024-08-25 14:32:00","R_5BwXfxp8hBLmmgn",1.08,"2","1",0,"7","2","0","0",1.080320513
"476","2024-08-25 14:42:00","R_7fm90bS3FYzzvRG",0.73,"2","1",0,"2","1","0","0",0.727443624
"359","2024-08-25 16:03:00","R_1Ez1bu8rjRb3cVi",0.89,"2","1",0,"1","0","0","1",0.89360612
"330","2024-08-25 16:35:00","R_2PoT0coHZIvn7rX",-0.14,"2","2",0,"1","1","0","0",-0.136026234
"415","2024-08-25 17:21:00","R_7lJrTupBNgMCCGZ",0.35,"2","1",0,"1","1","0","1",0.350270303
"441","2024-08-25 18:32:00","R_522VrfOxNKjnw2T",1.1,"2","1",0,"1","1","0","0",1.098461709
"378","2024-08-25 19:57:00","R_5JrNRZk2gObnXim",0.89,"2","2",0,"1","1","0","0",0.888427706
"406","2024-08-25 22:02:00","R_3h6hI18x9acCdb7",1.17,"2","2",0,"1","0","0","0",1.169374349
"24187","2024-08-25 22:07:00","R_73W8OrgGz4hFywG",0.95,"2","2",0,"1","0","0","0",0.945023424
"361","2024-08-26 07:21:00","R_5s9PurIclE6pX3j",0.86,"2","2",0,"1","0","0","1",0.86053741
"470","2024-08-26 07:34:00","R_6Vn07b4BZecqEVP",0.63,"2","1",0,"4","1","0","1",0.634146837
"418","2024-08-26 07:56:00","R_6cLjXfWS7KG1L57",0.98,"2","2",0,"1","0","0","1",0.983479085
"472","2024-08-26 09:13:00","R_1edajQ5GxX4eZc5",1.01,"2","2",1,"1","1","1","0",1.014771484
"488","2024-08-26 09:19:00","R_6oI9suAU8iI1oAb",0.5,"2","1",0,"1","1","0","1",0.499768806
"475","2024-08-26 09:26:00","R_5w0jjbVAgBzIWmB",0.86,"2","2",0,"2","2","0","0",0.858244281
"539","2024-08-26 09:54:00","R_3aMaRWePEndEyMV",1.19,"2","1",0,"1","0","0","0",1.186661526
"456","2024-08-26 10:13:00","R_1ezG7RLAWIKRAQN",0.69,"2","2",1,"1","2","0","1",0.687618037
"430","2024-08-26 11:57:00","R_8qEEbbrktnNJIuH",1.04,"2","2",1,"1","1","0","0",1.03768774
"408","2024-08-26 12:20:00","R_60cSqsVix23YvnP",1.11,"2","3",0,"1","1","0","0",1.113428915
"615","2024-08-26 12:42:00","R_6CIZ1OwQhKzopCQ",0.26,"2","2",0,"1","1","0","1",0.258357897
"332","2024-08-26 12:47:00","R_5FRNyBxs6qwHGFj",0.97,"2","2",1,"1","0","0","0",0.971017882
"398","2024-08-26 12:50:00","R_5GwRqwgn8MDnb4l",0.47,"2","2",0,"2","0","0","1",0.467634879
"502","2024-08-26 13:14:00","R_1ldfivTdWxAVGY9",1.17,"2","1",0,"1","2","1","0",1.167001405
"393","2024-08-26 13:26:00","R_5d1dUK2Xb9ZfzlS",0.66,"2","1",0,"1","0","0","0",0.663144152
"500","2024-08-26 13:50:00","R_1P6GDp7Lk3yRFs2",0.63,"2","1",0,"1","0","0","0",0.625637824
"323","2024-08-26 14:15:00","R_5R1SWlw2GALzRWc",0.94,"2","1",0,"1","1","0","0",0.939531351
"558","2024-08-26 15:14:00","R_6IZ3YJBVRMN7hFQ",1.27,"2","1",0,"1","0","0","1",1.269742591
"443","2024-08-26 15:23:00","R_1q29daaO7H1PKzt",0.98,"2","2",1,"1","0","0","1",0.984004922
"420","2024-08-26 16:09:00","R_7Ttr2Wp0IxVvvRH",0.57,"2","2",0,"3","1","0","0",0.574843888
"474","2024-08-26 16:28:00","R_6QYm4xI5AzRE90Z",0.99,"2","1",0,"7","0","0","1",0.991565481
"627","2024-08-26 16:41:00","R_1FEpZWzjn7YcS5D",1.05,"2","1",0,"1","2","0","0",1.048947753
"313","2024-08-26 17:56:00","R_1A1fcvfS7cuWjEl",0.67,"2","2",1,"7","1","0","0",0.671035341
"395","2024-08-26 18:14:00","R_3imVmtsrK2Pztak",0.87,"2","1",0,"1","0","0","0",0.868298631
"443","2024-08-26 18:20:00","R_6GxE08gLxYsIiYH",1.11,"2","2",0,"1","1","0","0",1.113503653
"540","2024-08-26 18:49:00","R_7rVf46A2xxigLLf",0.68,"2","2",0,"1","0","0","0",0.678460205
"424","2024-08-27 01:38:00","R_3GuDFYAaFncrNA0",1.08,"2","3",1,"1","1","0","0",1.079833843
"452","2024-08-27 07:18:00","R_13uBEkyb9Qs2v0B",0.89,"2","2",0,"1","0","0","0",0.891454544
"390","2024-08-27 08:50:00","R_5gj78hbFw4yaYoI",0.25,"2","2",0,"1","1","0","1",0.245444448
"677","2024-08-27 10:10:00","R_74zE02AJd3jgGEF",0.44,"2","2",NA,"1","0","0","0",0.438311352
"489","2024-08-27 10:15:00","R_1zBg3fKtzDDv7z3",0.87,"2","1",0,"1","2","1","1",0.870423951
"367","2024-08-27 10:15:00","R_7HUiF3gWXvlDkL1",0.68,"2","1",0,"1","0","0","0",0.678921447
"414","2024-08-27 10:22:00","R_7r0aSFUyh8dVaPz",0.53,"2","2",0,"1","1","0","1",0.526674396
"472","2024-08-27 11:20:00","R_5TNz5oyqqEUp5Qy",0.47,"2","2",0,"1","1","0","1",0.46953519
"1415","2024-08-27 11:25:00","R_6jcktDeQqMhaVrm",0.51,"2","2",1,"1","0","0","1",0.512696208
"382","2024-08-27 11:28:00","R_2N8nnwhuBqzB0yB",1.34,"2","2",0,"1","1","0","1",1.343224649
"412","2024-08-27 11:48:00","R_3f0vWxlMheEnsnM",0.81,"2","2",0,"1","0","0","1",0.80927242
"717","2024-08-27 12:22:00","R_1DMlmy0ceEjjiRq",1.33,"2","1",0,"1","0","0","1",1.330121924
"391","2024-08-27 13:45:00","R_6j8TnEnUg6kB54d",0.71,"2","2",0,"1","1","0","0",0.707882992
"364","2024-08-27 13:51:00","R_3lLjfzqgZJzal20",0.92,"2","2",1,"1","4","1","0",0.917883508
"431","2024-08-27 16:24:00","R_3iaubdtzt7bvbwd",1.1,"2","2",0,"1","0","0","1",1.09573301
"684","2024-08-27 17:16:00","R_1pVDZY1FAAjEegn",0.79,"2","2",1,"1","2","1","0",0.791694858
"467","2024-08-27 17:18:00","R_6GGuiBTxyFwUhWx",1.35,"2","2",1,"1","2","1","0",1.345396745
"398","2024-08-27 19:05:00","R_5B5mlLLKajk7QSa",1.15,"2","1",0,"1","2","0","0",1.145686384
"509","2024-08-27 19:53:00","R_1O8M7eptV0eFzxI",0.82,"2","2",0,"1","1","0","0",0.821477651
"503","2024-08-27 19:55:00","R_1piP4r9hmFPhmb7",0.84,"2","2",0,"1","1","0","0",0.835047974
"560","2024-08-28 07:10:00","R_6jR69Z4dopEj2Gl",0.71,"2","2",0,"1","1","0","1",0.708699201
"412","2024-08-28 07:58:00","R_3F1prIFpcIkZfgt",0.67,"2","1",0,"1","1","0","1",0.66833903
"445","2024-08-28 09:16:00","R_5PBxLPTWEXouCxv",0.65,"2","2",0,"1","1","0","1",0.653931446
"410","2024-08-28 10:12:00","R_5Qs6reVfyzXdgmm",1,"2","1",0,"1","1","0","1",0.996015418
"459","2024-08-28 11:29:00","R_33xS4KXMc61vDaN",0.92,"2","2",0,"1","1","0","0",0.921508389
"392","2024-08-28 12:22:00","R_3EyjEGRzso3eczI",0.65,"2","2",0,"1","1","0","1",0.6502447
"394","2024-08-28 15:40:00","R_6OWdp6MDMwHxVzb",0.48,"2","2",0,"1","0","0","0",0.482991686
"356","2024-08-28 16:28:00","R_5l6PDhHLrh9jvuK",1.03,"2","1",0,"1","0","0","0",1.028936559
"355","2024-08-28 17:02:00","R_7fJcPV4qZeVGbCf",0.29,"2","1",0,"4","0","0","0",0.286472672
"491","2024-08-29 08:28:00","R_6Gerz6KY80l2Tki",0.5,"2","2",0,"1","1","0","0",0.50074517
"371","2024-08-29 11:49:00","R_6jZhIn7ONP71R1T",1.13,"2","1",0,"1","1","0","1",1.131579429
"393","2024-08-29 13:13:00","R_5ltmJQ7zGtn7QFX",0.86,"2","1",0,"7","2","0","0",0.857375161
"408","2024-08-29 14:14:00","R_337SmnIw8KSeT3e",1,"2","1",0,"1","3","1","0",0.996246112
"358","2024-08-29 19:15:00","R_62i1V503Ush4AkW",0.84,"2","2",1,"1","1","0","0",0.843149506
"407","2024-08-29 21:19:00","R_7qYffhL8h6y1bZ7",0.47,"2","2",0,"1","0","0","1",0.473182668
"427","2024-08-29 21:35:00","R_8mr6TdgqAvaqOp6",0.49,"2","3",0,"1","0","0","0",0.490624888
"390","2024-08-30 08:44:00","R_61qYdoWgqwOWuu5",0.49,"2","1",0,"1","1","0","0",0.493326111
"374","2024-08-30 08:51:00","R_3NQzxILOx1kwHMo",0.92,"2","2",0,"2","0","0","0",0.921275007
"451","2024-08-30 08:55:00","R_7RaCVahbXdY183T",0.81,"3","2",0,"7","1","0","0",0.813295593
"356","2024-08-30 08:59:00","R_5gUxoNM4vZG0vD5",1.01,"2","2",1,"1","1","0","0",1.007874939
"678","2024-08-30 09:02:00","R_3nPkVEMHDulxGZX",1.07,"2","2",0,"7","0","0","0",1.068551357
"421","2024-08-30 09:17:00","R_6XrayokDkhzmOwF",0.81,"2","1",0,"1","1","0","1",0.813394697
"448","2024-08-30 09:20:00","R_3YnaZHMbNVm4vFf",-0.14,"2","1",0,"1","0","0","1",-0.135138157
"459","2024-08-30 09:47:00","R_1Ra5jV23g2JY9Qi",0.81,"2","2",0,"1","1","0","0",0.814989599
"353","2024-08-30 09:57:00","R_34IC9BrTCl6YQVj",0.95,"2","1",0,"1","0","0","1",0.948017382
"389","2024-08-30 10:20:00","R_1IZ6IrYWNYpCWtG",0.1,"2","1",0,"1","0","0","0",0.095484198
"369","2024-08-30 10:29:00","R_1fizVIhRbMHqkzZ",0.91,"2","2",0,"1","1","0","0",0.912243341
"401","2024-08-30 10:31:00","R_3C9gIHygGr1ubtV",1.03,"2","2",1,"1","2","1","0",1.031124261
"389","2024-08-30 11:04:00","R_3mk4QIooalxJQc0",0.91,"2","1",0,"1","1","0","0",0.907639227
"390","2024-08-30 11:50:00","R_3iW3zMkBA4LQb1i",0.6,"2","2",0,"7","1","0","0",0.595567446
"372","2024-08-30 11:50:00","R_6DNw4TDfoeXR1ew",0.91,"2","1",0,"1","1","0","0",0.91245549
"452","2024-08-30 12:01:00","R_5A3jETcDt7038M9",0.31,"2","2",0,"1","0","0","0",0.312717696
"362","2024-08-30 12:04:00","R_7FP2FolEODGq2HI",0.96,"2","2",0,"2","1","0","0",0.964270859
"430","2024-08-30 12:26:00","R_1rI0f1mRUJj62Te",0.45,"2","1",0,"4","1","0","0",0.449721993
"418","2024-08-30 12:27:00","R_3uWEzVMCGOrr4yJ",0.93,"2","1",1,"1","1","0","0",0.92754355
"542","2024-08-30 12:33:00","R_10bYRhAycyDrPCp",0.75,"2","2",1,"1","1","0","0",0.751074604
"437","2024-08-30 12:55:00","R_3ijW34UA52khkb1",1.2,"2","1",0,"1","0","0","1",1.204349953
"460","2024-08-30 13:03:00","R_7PRH6tNa99ODbcs",0.68,"2","2",0,"1","1","0","0",0.678047298
"746","2024-08-30 14:05:00","R_60NEsduytN3PrK0",1.4,"2","2",0,"1","0","0","1",1.396830946
"507","2024-08-30 17:03:00","R_6oYBWlo3FL0NDzs",0.54,"2","2",0,"1","1","0","0",0.538366903
"97313","2024-08-30 18:45:00","R_8Ele1O09n7SUl0Z",0.98,"2","2",0,"1","0","0","0",0.983535518
"362","2024-08-30 19:12:00","R_1n7a4q5LgNjxlLP",0.83,"2","2",0,"1","1","0","1",0.833386473
"485","2024-08-30 22:10:00","R_1DqZzfPwRPHN6Gt",0.65,"2","2",1,"1","0","0","0",0.645103544
"602","2024-08-31 07:02:00","R_6HHOMKGwr0EmrKM",0.94,"6","1",0,"1","1","0","0",0.936072958
"510","2024-08-31 08:16:00","R_7Yc6LPikOA2DkKS",1.21,"2","1",0,"7","2","1","0",1.20551158
"366","2024-08-31 12:02:00","R_6sCEEMVDpwrk1nH",0.9,"2","2",0,"1","0","0","0",0.904006748
"390","2024-08-31 14:11:00","R_7gWCxp327O3cMTL",0.7,"2","1",0,"1","1","0","0",0.695659809
"3524","2024-08-31 16:02:00","R_6EdsFIFLKSGoLzA",1.01,"2","2",0,"1","0","0","1",1.014488436
"442","2024-09-01 09:03:00","R_3NmHB5vkNxRrliO",0.97,"2","1",0,"1","0","0","0",0.970548104
"349","2024-09-01 13:05:00","R_3vjGtCcaATvby6g",0.69,"2","2",1,"1","0","0","0",0.685662273
"443","2024-09-01 13:06:00","R_1K918D644RWIU3L",0.61,"2","2",0,"2","0","0","0",0.610972667
"391","2024-09-01 15:47:00","R_3En5WrfztUxS3eb",0.89,"2","2",0,"1","0","0","0",0.892112882
"394","2024-09-01 15:58:00","R_1lLznXR6QiJQybK",0.88,"2","2",0,"2","0","0","0",0.879639852
"1249","2024-09-01 18:36:00","R_6VBt2yrLzKzC7cd",1.09,"2","2",0,"3","0","0","0",1.089552104
"367","2024-09-01 19:44:00","R_7P75RV51i17acYc",0.91,"2","2",0,"7","0","0","0",0.909009434
"431","2024-09-01 22:19:00","R_3eQcfybVg9Uqxsd",1.1,"2","2",0,"1","0","0","0",1.097691594
"582","2024-09-02 05:51:00","R_1sS8HbkXSCl7JPZ",0.52,"2","2",0,"2","0","0","0",0.515550479
"646","2024-09-02 08:38:00","R_12Vk7c5Evw6kR1W",0.92,"2","1",NA,"1","1","0","1",0.919298371
"398","2024-09-02 09:02:00","R_5kdm70yJpymATF7",1.13,"2","1",0,"1","1","0","1",1.127095184
"421","2024-09-02 09:35:00","R_7huyBhJvUtKNdO9",1.08,"2","1",0,"1","0","0","0",1.079426157
"389","2024-09-02 09:49:00","R_3ZEeLg8Vmh3tkxr",0.77,"2","2",0,"1","1","0","0",0.773127929
"523","2024-09-02 09:52:00","R_78NcsxbzCSQWs1s",1.17,"2","2",0,"1","1","0","0",1.169187118
"431","2024-09-02 10:14:00","R_3EnKYabuy1hQmm6",1.1,"2","1",0,"1","1","0","0",1.095096043
"407","2024-09-02 11:01:00","R_1rPolD5NI6gJVur",0.74,"2","2",0,"1","0","0","1",0.740143734
"481","2024-09-02 11:42:00","R_6PohjH2yzfl5FjQ",0.8,"2","3",1,"7","2","0","0",0.799097876
"408","2024-09-02 11:45:00","R_7P6aLGcBnzaLKKG",0.79,"2","1",0,"1","1","0","1",0.793310312
"481","2024-09-02 12:47:00","R_5KDSodPyIBoF9S4",0.32,"2","3",0,"7","1","0","0",0.322160542
"350","2024-09-02 13:00:00","R_2m943K0CFD0jm1P",1.53,"2","1",0,"2","1","0","0",1.532948312
"451","2024-09-02 13:42:00","R_2ieWwr0cChGg00h",1.13,"2","1",0,"1","1","0","0",1.12553349
"769","2024-09-02 14:20:00","R_3EAm8wa5a7FWi3Z",0.93,"2","2",0,"1","0","0","0",0.929002865
"343","2024-09-02 15:16:00","R_1ffrjisLRhNSXEw",0.33,"2","2",0,"2","1","0","0",0.331447884
"580","2024-09-02 15:23:00","R_75j6r6fsKopVEQh",0.45,"2","1",0,"1","1","0","0",0.450057493
"1374","2024-09-02 15:34:00","R_1oT1RaTiaBRnEUb",0.72,"2","2",0,"1","1","0","1",0.716438674
"379","2024-09-02 15:42:00","R_14C92y2cShSZgHp",1.04,"2","1",0,"1","0","0","0",1.036568737
"612","2024-09-02 16:00:00","R_1jUhgUA7sq07PRX",1.13,"2","1",0,"1","0","0","0",1.131907093
"406","2024-09-02 16:00:00","R_7zikfmt7jbuf1uz",1.38,"2","2",1,"1","1","0","1",1.378986164
"374","2024-09-02 18:09:00","R_3OfaLK4yqEOTb0Q",0.49,"2","2",0,"1","3","0","0",0.490338538
"833","2024-09-02 20:23:00","R_1TxpV1G24TEGQPn",0.81,"2","2",0,"2","0","0","1",0.814416204
"346","2024-09-03 07:52:00","R_1rlEFq8UjbqTaw8",0.81,"2","2",0,"1","0","0","0",0.812618314
"546","2024-09-03 09:03:00","R_1OHntTlMRxkpRgl",0.88,"2","3",1,"1","1","0","0",0.883017373
"321","2024-09-03 09:56:00","R_3L2nA5OA3cK1sFr",0.88,"2","1",0,"1","1","0","1",0.878242016
"359","2024-09-03 10:03:00","R_3AYwyWktH4lZqrC",0.92,"2","1",0,"2","0","0","1",0.915955871
"331","2024-09-03 10:43:00","R_1ARJiILWtQGXBVb",1.09,"2","1",0,"2","0","0","0",1.093220157
"533","2024-09-03 11:23:00","R_7LAVIeN5o5WnSX3",0.71,"2","2",1,"1","1","0","0",0.705910909
"333","2024-09-03 11:55:00","R_7K2Z95mUxpdPJGF",1,"2","2",0,"7","0","0","0",1.0028831
"385","2024-09-03 12:02:00","R_1BVGEJrIpVkldmW",0.92,"2","1",0,"1","1","0","0",0.920224803
"387","2024-09-03 12:28:00","R_5oZLuY02jtTrqH0",1.07,"2","2",0,"1","0","0","1",1.066133282
"473","2024-09-03 12:31:00","R_6kx1Sl6F4FzL1mx",1.01,"2","2",0,"2","0","0","0",1.009802136
"397","2024-09-03 12:40:00","R_7Y9S5RVqTEEGu4N",0.66,"2","2",1,"1","0","0","0",0.664794416
"461","2024-09-03 12:48:00","R_3lRoocpdbmHAmIv",1.12,"5","2",0,"1","0","0","0",1.115565775
"379","2024-09-03 14:52:00","R_75z2Vk2gkSIJSip",0.62,"2","2",0,"1","0","0","1",0.615933155
"519","2024-09-03 15:31:00","R_7CPNhmQJXzzHVNn",1.26,"2","2",0,"7","2","0","1",1.255451204
"476","2024-09-03 17:58:00","R_6IXFrI3bN2dU8i2",0.73,"2","2",0,"1","0","0","1",0.729103838
"367","2024-09-03 18:54:00","R_3SwNcJ3T6wC15Wp",1.04,"2","2",0,"1","3","0","0",1.04365246
"496","2024-09-03 19:01:00","R_694SwZgm0LqjNUe",1,"2","1",0,"1","0","0","1",0.996999631
"435","2024-09-03 19:24:00","R_6Gp454CHGNBBK7v",0.86,"2","2",0,"1","0","0","0",0.860226
"501","2024-09-03 20:26:00","R_5WTmQA9QCefOc34",1.16,"2","2",0,"1","0","0","0",1.161910328
"439","2024-09-04 06:44:00","R_3PfcnhMzDrFyfoB",0.54,"2","2",0,"1","0","0","0",0.543755974
"376","2024-09-04 11:22:00","R_6yskVNrRksrAADG",0.9,"2","2",0,"1","1","0","1",0.899970693
"383","2024-09-04 12:25:00","R_5UvbBrDrdughMqd",1.09,"2","2",0,"1","1","0","1",1.090990172
"355","2024-09-04 13:00:00","R_2bEgcCGl2VGaPaF",1.2,"2","2",0,"7","1","0","0",1.203186762
"505","2024-09-05 06:51:00","R_6Vec6JJQ03CMAie",0.88,"2","1",0,"1","0","0","0",0.878053392
"505","2024-09-05 07:00:00","R_1jcxkas73mtlCiU",0.51,"2","2",0,"1","0","1","1",0.507162323
"460","2024-09-05 10:55:00","R_5H1zIqPOResxQrW",0.67,"2","1",0,"4","0","0","1",0.673890116
"412","2024-09-05 11:24:00","R_6W70WTO5Nxm4Ww9",0.96,"2","1",0,"1","0","0","1",0.956152982
"396","2024-09-05 18:36:00","R_1hzmPkIwsM4Vxvj",0.96,"2","1",1,"1","1","0","1",0.962439219
"434","2024-09-05 22:29:00","R_3rTnE2PgPFolDTH",1.05,"2","2",0,"1","0","0","1",1.045947175
"484","2024-09-06 01:08:00","R_5z5ZI6nkgYWZZtu",0.86,"2","2",0,"1","0","0","1",0.863782223
"438","2024-09-06 17:59:00","R_69cfMfR2Xv4Hs4F",1.01,"2","2",1,"1","2","1","0",1.007992824
"416","2024-09-06 23:10:00","R_102JZindXc8iUY7",1.14,"2","1",0,"1","0","0","0",1.140157991
"518","2024-09-07 11:54:00","R_38YBp0zddy89H4R",0.84,"2","1",0,"7","0","0","0",0.843083131
"1042","2024-09-08 15:31:00","R_5EhI6wLVTYyzYCy",0.56,"2","2",0,"3","1","0","1",0.557013684
"2273","2024-09-09 14:10:00","R_702d9SpGeKkg3Gs",0.64,"2","2",0,"6","1","0","0",0.642871024
"434","2024-09-09 14:30:00","R_3UFGAEu1P79mtZn",0.84,"2","2",0,"7","1","0","1",0.835431686
"344","2024-09-10 10:56:00","R_3Q5Hp6jGrjNJHR7",1.23,"2","2",1,"2","1","1","0",1.230154812
"330","2024-09-10 10:56:00","R_6ohVqrhez76a0h8",1.06,"2","1",0,"2","1","0","0",1.064673116
"407","2024-09-10 14:06:00","R_3HieYmm7zE1NC1u",0.92,"2","1",1,"1","3","1","0",0.924786602
"417","2024-09-10 15:13:00","R_6n2sz5NHxEgBolx",0.56,"2","2",1,"2","0","0","0",0.555837666
"455","2024-09-10 16:15:00","R_5rl5VDNuy5QElY8",0.92,"2","1",NA,"1","2","0","0",0.921661335
"653","2024-09-10 16:26:00","R_6oIp49lTQaqxoVF",0.39,"2","2",0,"1","0","0","0",0.385492969
"375","2024-09-10 20:54:00","R_15ZUOlnbxmaJMam",0.89,"2","2",0,"1","0","0","0",0.891052539
"364","2024-09-11 06:00:00","R_3CHgsrijr8sXYX7",0.65,"2","2",0,"2","1","0","0",0.654411944
"465","2024-09-11 17:31:00","R_6rv6Rn419KM7fHA",0.88,"2","1",1,"1","1","0","1",0.879079821
"415","2024-09-12 17:41:00","R_5GqyfuZKeOQgbcA",0.5,"2","2",0,"7","0","0","0",0.497582026
"533","2024-09-13 13:10:00","R_65iUjOZRkCimXqF",1.08,"2","1",1,"1","1","0","1",1.083610609
"383","2024-09-13 14:41:00","R_5dFdwiBxVk4nsz1",0.75,"2","2",1,"1","0","0","1",0.747444829
"359","2024-09-13 14:43:00","R_3kuqlLCtt38EJyj",1.12,"2","2",0,"1","0","0","0",1.117146721
"541","2024-09-13 14:52:00","R_3dA0nWZNFEq0vUL",1.19,"2","2",0,"1","1","0","1",1.190060913
"422","2024-09-13 15:02:00","R_7rvvKxMZGYqASCj",1.07,"2","2",0,"5","1","0","0",1.066859712
"513","2024-09-13 15:36:00","R_3zYKyNhtmDIiz6p",0.84,"2","1",0,"7","0","0","0",0.839772425
"382","2024-09-13 15:58:00","R_3KrOqozBkLwcton",0.86,"2","2",0,"1","0","0","0",0.861266636
"493","2024-09-13 16:50:00","R_1pxS1oW3XcBU2rs",1.1,"2","1",1,"1","0","0","0",1.103836879
"348","2024-09-13 17:40:00","R_6FP8Nr2p1g9wY34",0.89,"2","1",0,"1","2","0","0",0.889855061
"536","2024-09-13 18:16:00","R_6D5iCx5WJxR9Mq4",1.29,"2","1",0,"1","0","0","1",1.292309007
"423","2024-09-13 18:19:00","R_1S0nsJkmlpNGKfD",0.39,"2","2",0,"2","1","0","1",0.387474374
"481","2024-09-13 19:21:00","R_3JVAGS80zmKERUH",0.8,"2","2",1,"1","1","0","0",0.799114391
"506","2024-09-13 19:33:00","R_7QRzun8nA63GJGh",1.1,"2","1",0,"1","1","0","1",1.101802688
"389","2024-09-13 19:36:00","R_6gclgWxrpYAneaB",0.03,"2","1",0,"1","1","0","0",0.030548235
"648","2024-09-14 16:55:00","R_3kRH7DRvQUTrzsB",0.7,"2","1",0,"1","0","0","1",0.695694145
